docname,topic,proportion
blog_content_cleaned.csv:36,001,0.48086
blog_content_cleaned.csv:36,000,0.291411
blog_content_cleaned.csv:36,005,0.22773
blog_content_cleaned.csv:71,001,0.586638
blog_content_cleaned.csv:71,004,0.319471
blog_content_cleaned.csv:71,003,0.093891
blog_content_cleaned.csv:106,002,0.650807
blog_content_cleaned.csv:106,004,0.257023
blog_content_cleaned.csv:106,006,0.092171
blog_content_cleaned.csv:141,006,0.735453
blog_content_cleaned.csv:141,000,0.18819
blog_content_cleaned.csv:141,002,0.076356
blog_content_cleaned.csv:176,000,0.62968
blog_content_cleaned.csv:176,001,0.212877
blog_content_cleaned.csv:176,002,0.157442
blog_content_cleaned.csv:206,006,0.705081
blog_content_cleaned.csv:206,001,0.178967
blog_content_cleaned.csv:206,003,0.115952
blog_content_cleaned.csv:241,004,0.604813
blog_content_cleaned.csv:241,003,0.359566
blog_content_cleaned.csv:241,001,0.03562
blog_content_cleaned.csv:276,004,0.515629
blog_content_cleaned.csv:276,002,0.282613
blog_content_cleaned.csv:276,000,0.201757
blog_content_cleaned.csv:311,003,0.989667
blog_content_cleaned.csv:311,000,0.010333
blog_content_cleaned.csv:346,002,0.575462
blog_content_cleaned.csv:346,000,0.424538
blog_content_cleaned.csv:381,000,0.588978
blog_content_cleaned.csv:381,003,0.411022
blog_content_cleaned.csv:2,006,0.599242
blog_content_cleaned.csv:2,001,0.400758
blog_content_cleaned.csv:37,001,0.997108
blog_content_cleaned.csv:37,002,0.002892
blog_content_cleaned.csv:72,003,0.801306
blog_content_cleaned.csv:72,000,0.151696
blog_content_cleaned.csv:72,004,0.046998
blog_content_cleaned.csv:107,002,0.482837
blog_content_cleaned.csv:107,006,0.26977
blog_content_cleaned.csv:107,005,0.089282
blog_content_cleaned.csv:107,004,0.086966
blog_content_cleaned.csv:107,000,0.071145
blog_content_cleaned.csv:142,000,0.511035
blog_content_cleaned.csv:142,004,0.430317
blog_content_cleaned.csv:142,003,0.058648
blog_content_cleaned.csv:177,006,0.938922
blog_content_cleaned.csv:177,005,0.061078
blog_content_cleaned.csv:207,000,0.569781
blog_content_cleaned.csv:207,003,0.415457
blog_content_cleaned.csv:207,004,0.014763
blog_content_cleaned.csv:242,005,0.89802
blog_content_cleaned.csv:242,006,0.10198
blog_content_cleaned.csv:277,003,0.412536
blog_content_cleaned.csv:277,001,0.295145
blog_content_cleaned.csv:277,002,0.226121
blog_content_cleaned.csv:277,004,0.066198
blog_content_cleaned.csv:312,005,0.960663
blog_content_cleaned.csv:312,002,0.039337
blog_content_cleaned.csv:347,005,0.982423
blog_content_cleaned.csv:347,001,0.017577
blog_content_cleaned.csv:382,000,0.61247
blog_content_cleaned.csv:382,003,0.292719
blog_content_cleaned.csv:382,004,0.094811
blog_content_cleaned.csv:5,000,0.469976
blog_content_cleaned.csv:5,003,0.204423
blog_content_cleaned.csv:5,004,0.179293
blog_content_cleaned.csv:5,001,0.146308
blog_content_cleaned.csv:40,004,0.742097
blog_content_cleaned.csv:40,001,0.123853
blog_content_cleaned.csv:40,003,0.081857
blog_content_cleaned.csv:40,002,0.052193
blog_content_cleaned.csv:75,001,0.82391
blog_content_cleaned.csv:75,002,0.17609
blog_content_cleaned.csv:110,001,0.615989
blog_content_cleaned.csv:110,002,0.159631
blog_content_cleaned.csv:110,004,0.145257
blog_content_cleaned.csv:110,003,0.079124
blog_content_cleaned.csv:145,005,0.612019
blog_content_cleaned.csv:145,001,0.324137
blog_content_cleaned.csv:145,004,0.063844
blog_content_cleaned.csv:180,003,0.641172
blog_content_cleaned.csv:180,000,0.358829
blog_content_cleaned.csv:210,001,0.889456
blog_content_cleaned.csv:210,005,0.110544
blog_content_cleaned.csv:245,006,0.622841
blog_content_cleaned.csv:245,001,0.356237
blog_content_cleaned.csv:245,003,0.020922
blog_content_cleaned.csv:280,000,0.81954
blog_content_cleaned.csv:280,001,0.09431
blog_content_cleaned.csv:280,006,0.08615
blog_content_cleaned.csv:315,000,0.895693
blog_content_cleaned.csv:315,002,0.104307
blog_content_cleaned.csv:350,003,1.0
blog_content_cleaned.csv:385,002,0.956567
blog_content_cleaned.csv:385,001,0.043433
blog_content_cleaned.csv:29,004,0.475351
blog_content_cleaned.csv:29,000,0.433208
blog_content_cleaned.csv:29,001,0.061217
blog_content_cleaned.csv:29,006,0.030224
blog_content_cleaned.csv:64,002,0.323735
blog_content_cleaned.csv:64,001,0.232267
blog_content_cleaned.csv:64,004,0.230611
blog_content_cleaned.csv:64,005,0.213387
blog_content_cleaned.csv:99,001,0.846218
blog_content_cleaned.csv:99,005,0.097747
blog_content_cleaned.csv:99,003,0.056034
blog_content_cleaned.csv:134,005,0.686886
blog_content_cleaned.csv:134,001,0.207999
blog_content_cleaned.csv:134,003,0.061941
blog_content_cleaned.csv:134,002,0.043174
blog_content_cleaned.csv:169,004,0.351804
blog_content_cleaned.csv:169,005,0.223343
blog_content_cleaned.csv:169,001,0.197817
blog_content_cleaned.csv:169,002,0.181098
blog_content_cleaned.csv:169,006,0.045938
blog_content_cleaned.csv:199,001,0.919876
